num;u;u_true;abs(u - u_true)
0;0;0;0
1;0,479426;0,479426;0
2;0,841471;0,841471;0
3;0,997495;0,997495;1,11022e-16
4;0,909297;0,909297;0
5;0;0;0
6;0;0;0
7;0;0;0
8;0;0;0
9;0,479426;0,479426;0
10;0,846691;0,841471;0,00522001
11;1,00415;0,997495;0,00665748
12;0,914251;0,909297;0,00495343
13;0,598472;0,598472;0
14;0;0;0
15;0;0;0
16;0;0;0
17;0;0;0
18;0,841471;0,841471;0
19;1,00433;0,997495;0,00683495
20;0,917114;0,909297;0,00781647
21;0,603473;0,598472;0,00500133
22;0,14112;0,14112;2,77556e-17
23;0;0;0
24;0;0;0
25;0;0;0
26;0;0;0
27;0,997495;0,997495;1,11022e-16
28;0,915005;0,909297;0,00570768
29;0,603805;0,598472;0,00533298
30;0,143423;0,14112;0,00230339
31;-0,350783;-0,350783;5,55112e-17
32;0;0;0
33;0;0;0
34;0;0;0
35;0;0;0
36;0,909297;0,909297;0
37;0,601169;0,598472;0,00269644
38;0,141775;0,14112;0,000655252
39;-0,352786;-0,350783;0,00200272
40;-0,756802;-0,756802;0
41;-0,97753;-0,97753;0
42;-0,958924;-0,958924;1,11022e-16
43;-0,70554;-0,70554;1,11022e-16
44;-0,279415;-0,279415;0
45;0,598472;0,598472;0
46;0,140035;0,14112;0,00108541
47;-0,355483;-0,350783;0,00469969
48;-0,764649;-0,756802;0,00784651
49;-0,98589;-0,97753;0,00836036
50;-0,966221;-0,958924;0,00729698
51;-0,710406;-0,70554;0,00486541
52;-0,28139;-0,279415;0,0019742
53;0,21512;0,21512;0
54;0,14112;0,14112;2,77556e-17
55;-0,354851;-0,350783;0,00406756
56;-0,764876;-0,756802;0,00807333
57;-0,987997;-0,97753;0,0104669
58;-0,969214;-0,958924;0,0102899
59;-0,713421;-0,70554;0,00788047
60;-0,283534;-0,279415;0,00411841
61;0,214481;0,21512;0,000638514
62;0,656987;0,656987;0
63;-0,350783;-0,350783;5,55112e-17
64;-0,761307;-0,756802;0,00450471
65;-0,98479;-0,97753;0,00725949
66;-0,967101;-0,958924;0,00817665
67;-0,712659;-0,70554;0,00711841
68;-0,283914;-0,279415;0,00449829
69;0,213888;0,21512;0,00123242
70;0,658143;0,656987;0,00115668
71;0,938;0,938;0
72;-0,756802;-0,756802;0
73;-0,97753;-0,97753;0
74;-0,958924;-0,958924;1,11022e-16
75;-0,70554;-0,70554;1,11022e-16
76;-0,279415;-0,279415;0
77;0,21512;0,21512;0
78;0,656987;0,656987;0
79;0,938;0,938;0
80;0,989358;0,989358;1,11022e-16
error;2,87451
error_otn;0,450009
