num;u;u_true;abs(u - u_true)
0;0;0;0
1;0,354327;0,479426;0,125098
2;0,653202;0,841471;0,188269
3;0,809686;0,997495;0,187809
4;0,909297;0,909297;0
5;0;0;0
6;0;0;0
7;0;0;0
8;0;0;0
9;0,479426;0,479426;0
10;0,793119;0,841471;0,0483522
11;0,923353;0,997495;0,0741423
12;0,845055;0,909297;0,0642426
13;0,598472;0,598472;0
14;0;0;0
15;0;0;0
16;0;0;0
17;0;0;0
18;0,841471;0,841471;0
19;0,982546;0,997495;0,0149492
20;0,884753;0,909297;0,0245449
21;0,577999;0,598472;0,0204734
22;0,14112;0,14112;2,77556e-17
23;0;0;0
24;0;0;0
25;0;0;0
26;0;0;0
27;0,997495;0,997495;1,11022e-16
28;0,908356;0,909297;0,000941456
29;0,594328;0,598472;0,00414414
30;0,136713;0,14112;0,0044066
31;-0,350783;-0,350783;5,55112e-17
32;0;0;0
33;0;0;0
34;0;0;0
35;0;0;0
36;0,909297;0,909297;0
37;0,604171;0,598472;0,00569891
38;0,147218;0,14112;0,00609797
39;-0,346352;-0,350783;0,00443166
40;-0,756802;-0,756802;0
41;-0,772621;-0,97753;0,204909
42;-0,767108;-0,958924;0,191816
43;-0,584526;-0,70554;0,121014
44;-0,279415;-0,279415;0
45;0,598472;0,598472;0
46;0,154002;0,14112;0,0128815
47;-0,332311;-0,350783;0,0184721
48;-0,736036;-0,756802;0,0207669
49;-0,946997;-0,97753;0,0305336
50;-0,878019;-0,958924;0,0809056
51;-0,625277;-0,70554;0,0802636
52;-0,230191;-0,279415;0,0492242
53;0,21512;0,21512;0
54;0,14112;0,14112;2,77556e-17
55;-0,321666;-0,350783;0,0291175
56;-0,714419;-0,756802;0,042384
57;-0,93489;-0,97753;0,0426397
58;-0,920731;-0,958924;0,0381934
59;-0,667492;-0,70554;0,0380483
60;-0,252953;-0,279415;0,0264624
61;0,225932;0,21512;0,0108116
62;0,656987;0,656987;0
63;-0,350783;-0,350783;5,55112e-17
64;-0,684695;-0,756802;0,0721076
65;-0,87981;-0,97753;0,0977204
66;-0,868952;-0,958924;0,0899727
67;-0,644534;-0,70554;0,0610062
68;-0,255983;-0,279415;0,0234322
69;0,201348;0,21512;0,0137718
70;0,625027;0,656987;0,0319597
71;0,938;0,938;0
72;-0,756802;-0,756802;0
73;-0,790093;-0,97753;0,187437
74;-0,737979;-0,958924;0,220946
75;-0,514617;-0,70554;0,190924
76;-0,164449;-0,279415;0,114967
77;0,23231;0,21512;0,0171905
78;0,578299;0,656987;0,0786873
79;0,798345;0,938;0,139655
80;0,989358;0,989358;1,11022e-16
error;2,94419
error_otn;0,460916
